"filename", "language", "JavaScript", "HTML", "JSON", "XML", "CSS", "YAML", "Markdown", "Ignore", "Docker", "comment", "blank", "total"
"/Users/buudinhha/project2/public/js/main-page/form-validator.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 9
"/Users/buudinhha/project2/public/js/main-page/images-loded.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"/Users/buudinhha/project2/public/js/main-page/isotope.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 12
"/Users/buudinhha/project2/public/js/main-page/jquery-3.2.1.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/Users/buudinhha/project2/public/js/main-page/jquery.mapify.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 42, 37, 228
"/Users/buudinhha/project2/public/js/main-page/jquery.superslides.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4
"/Users/buudinhha/project2/public/js/main-page/legacy.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 134
"/Users/buudinhha/project2/public/js/main-page/picker.date.js", "JavaScript", 810, 0, 0, 0, 0, 0, 0, 0, 0, 262, 286, 1358
"/Users/buudinhha/project2/public/js/main-page/picker.js", "JavaScript", 585, 0, 0, 0, 0, 0, 0, 0, 0, 296, 313, 1194
"/Users/buudinhha/project2/public/js/main-page/picker.time.js", "JavaScript", 590, 0, 0, 0, 0, 0, 0, 0, 0, 205, 222, 1017
"/Users/buudinhha/project2/public/js/main-page/popper.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/buudinhha/project2/public/plugins/amchart/js/amcharts.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/buudinhha/project2/public/plugins/amchart/js/ammap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/buudinhha/project2/public/plugins/amchart/js/gauge.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/buudinhha/project2/public/plugins/amchart/js/images/dragIconRoundBig.svg", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/buudinhha/project2/public/plugins/amchart/js/images/lens.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/buudinhha/project2/public/plugins/amchart/js/light.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/buudinhha/project2/public/plugins/amchart/js/pie.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/buudinhha/project2/public/plugins/amchart/js/radar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/buudinhha/project2/public/plugins/amchart/js/serial.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/buudinhha/project2/public/plugins/amchart/js/usaLow.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/buudinhha/project2/public/plugins/amchart/js/worldLow.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/buudinhha/project2/public/plugins/animation/css/animate.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"/Users/buudinhha/project2/public/plugins/bootstrap/css/bootstrap.css", "CSS", 0, 0, 0, 0, 7933, 0, 0, 0, 0, 7, 1095, 9035
"/Users/buudinhha/project2/public/plugins/bootstrap/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 1, 8
"/Users/buudinhha/project2/public/plugins/bootstrap/js/bootstrap.js", "JavaScript", 2830, 0, 0, 0, 0, 0, 0, 0, 0, 352, 763, 3945
"/Users/buudinhha/project2/public/plugins/bootstrap/js/bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"/Users/buudinhha/project2/public/plugins/bootstrap/js/popover.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/buudinhha/project2/public/plugins/chart-morris/css/morris.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/buudinhha/project2/public/plugins/chart-morris/js/morris.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"/Users/buudinhha/project2/public/plugins/chart-morris/js/raphael.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/buudinhha/project2/public/plugins/google-maps/js/gmaps.js", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 189
"/Users/buudinhha/project2/public/plugins/jquery-scrollbar/css/jquery.scrollbar.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
